,Open,High,Low,Close,Volume,datetime
331,296.68,296.92,294.33,295.66,79107474,1561957200000
332,295.61,296.49,294.68,296.43,61504544,1562043600000
333,297.18,298.82,297.02,298.8,40898896,1562130000000
334,297.44,298.64,296.01,298.46,51677326,1562302800000
335,297.01,298.2579,296.22,296.82,45841772,1562562000000
336,295.54,297.52,295.48,297.19,41101279,1562648400000
337,298.37,299.66,297.78,298.61,58595558,1562734800000
338,299.32,299.58,298.2,299.31,50889481,1562821200000
339,299.85,300.73,299.51,300.65,40354410,1562907600000
340,301.13,301.13,300.19,300.75,33910261,1563166800000
341,300.65,300.88,299.44,299.71,40567964,1563253200000
342,299.75,299.93,297.74,297.74,44102443,1563339600000
343,297.19,299.25,296.7,298.83,51701687,1563426000000
344,300.04,300.07,296.96,297.17,71081238,1563512400000
345,297.61,298.5,297.04,297.9,43687404,1563771600000
346,299.14,300.03,298.22,300.03,44657973,1563858000000
347,299.19,301.44,299.09,301.44,47213232,1563944400000
348,300.94,301.0,299.11,300.0,55394092,1564030800000
349,300.76,302.23,300.62,302.01,45084077,1564117200000
350,301.88,301.93,300.85,301.46,38126462,1564376400000
351,299.91,301.17,299.49,300.72,45849045,1564462800000
352,300.99,301.2,295.2,297.43,104245162,1564549200000
353,297.6,300.87,293.96,294.84,142646580,1564635600000
354,293.85,294.12,290.9,292.62,116749695,1564722000000
355,288.09,288.21,281.72,283.82,178745450,1564981200000
356,285.91,288.04,284.28,287.8,120711682,1565067600000
357,284.4,288.82,282.04,287.97,140572270,1565154000000
358,289.62,293.62,289.01,293.62,87713904,1565240400000
359,292.58,293.24,289.65,291.62,93729958,1565326800000
360,289.96,291.6052,287.02,288.07,65527632,1565586000000
361,287.74,294.15,287.36,292.55,94792972,1565672400000
362,288.07,288.74,283.76,283.9,135622053,1565758800000
363,284.88,285.64,282.39,284.65,101929845,1565845200000
364,286.48,289.33,284.7138,288.85,85825286,1565931600000
365,292.19,293.08,291.44,292.33,53640153,1566190800000
366,291.77,292.36,289.95,290.09,51652752,1566277200000
367,292.48,292.86,291.72,292.45,49723430,1566363600000
368,293.23,293.93,290.4,292.36,51739292,1566450000000
369,290.92,292.76,283.47,284.85,149318150,1566536400000
370,287.27,288.0,285.58,288.0,72620598,1566795600000
371,289.54,289.95,286.03,286.87,68262998,1566882000000
372,286.14,289.07,285.25,288.89,59852324,1566968400000
373,291.72,293.16,290.61,292.58,57998913,1567054800000
374,294.22,294.2399,291.42,292.45,62961780,1567141200000
375,290.57,291.58,289.27,290.74,69231875,1567486800000
376,293.14,294.055,292.31,294.04,47003957,1567573200000
377,296.79,298.83,294.001,297.82,83356779,1567659600000
378,298.17,298.76,297.42,298.05,49584290,1567746000000
379,299.14,299.24,297.16,298.2,51260290,1568005200000
380,297.36,298.2,295.97,298.13,57947101,1568091600000
381,298.47,300.34,297.75,300.25,68821066,1568178000000
382,301.25,302.46,300.41,301.29,72908745,1568264400000
383,301.78,302.17,300.68,301.09,62104838,1568350800000
384,299.84,301.1378,299.45,300.16,58191175,1568610000000
385,299.94,301.02,299.75,300.92,42904427,1568696400000
386,300.49,301.22,298.24,301.1,74192091,1568782800000
387,301.53,302.63,300.7103,301.08,78099215,1568869200000
388,300.36,300.67,297.41,298.28,97455979,1568955600000
389,297.55,299.0,297.27,298.21,47541321,1569214800000
390,299.41,299.84,294.81,295.87,97367568,1569301200000
391,295.96,298.11,294.33,297.62,73434081,1569387600000
392,297.63,297.86,295.45,297.0,58722357,1569474000000
393,297.83,297.9465,293.69,295.4,84781110,1569560400000
394,295.97,297.55,295.92,296.77,52562761,1569819600000
395,297.74,298.455,293.0,293.24,89900420,1569906000000
396,291.5,291.51,286.64,288.06,124523974,1569992400000
397,287.81,290.45,284.82,290.42,85906799,1570078800000
398,291.14,294.63,290.82,294.35,66700681,1570165200000
399,293.47,295.26,292.77,293.08,60656561,1570424400000
400,291.04,291.85,288.49,288.53,101575470,1570510800000
401,290.75,292.3,288.6559,291.27,65707329,1570597200000
402,291.18,294.21,291.0,293.24,57255974,1570683600000
403,296.27,298.74,296.1448,296.28,101228577,1570770000000
404,295.93,296.67,295.57,295.95,40546668,1571029200000
405,297.1,299.7,296.97,298.88,47832356,1571115600000
406,298.37,299.16,297.92,298.4,50563596,1571202000000
407,299.68,300.24,298.515,299.28,46784885,1571288400000
408,298.69,299.395,296.99,297.97,64338028,1571374800000
409,299.42,300.21,298.935,299.99,39460901,1571634000000
410,300.58,300.9,298.91,299.01,49126038,1571720400000
411,298.73,299.94,298.495,299.88,34991829,1571806800000
412,300.91,301.07,299.4601,300.37,35857459,1571893200000
413,299.74,302.2,299.6806,301.6,45205412,1571979600000
414,302.94,303.85,302.91,303.3,42146965,1572238800000
